Timestamp_UTC,IP,Index,Parameter_Name,Value,Unit
2026-05-11T18:04:55Z,10.16.130.50,1,Date,12/5/2012,
2026-05-11T18:04:55Z,10.16.130.50,2,Time,20:42:25,
2026-05-11T18:04:55Z,10.16.130.50,3,Demand Current,50.408485,A
2026-05-11T18:04:55Z,10.16.130.50,4,Demand Power,339180.4375,W
2026-05-11T18:04:55Z,10.16.130.50,5,Demand Apparent Power,159375.46875,VA
2026-05-11T18:04:55Z,10.16.130.50,6,Projected #1 Demand Current,375751.5,A
2026-05-11T18:04:55Z,10.16.130.50,7,Projected #1 Demand Power,48.192638,W
2026-05-11T18:04:55Z,10.16.130.50,8,Projected #1 Demand Reactive Power,325826.78125,VAR
2026-05-11T18:04:55Z,10.16.130.50,9,Projected #1 Demand Apparent Power,151588.59375,VA
2026-05-11T18:04:55Z,10.16.130.50,10,Projected #2 Demand Current,360095.125,A
2026-05-11T18:04:55Z,10.16.130.50,11,Projected #2 Demand Power,49.399048,W
2026-05-11T18:04:55Z,10.16.130.50,12,Projected #2 Demand Reactive Power,332978.25,VAR
2026-05-11T18:04:55Z,10.16.130.50,13,Projected #2 Demand Apparent Power,158084.703125,VA
2026-05-11T18:04:55Z,10.16.130.50,14,Projected #3 Demand Current,369308.8125,A
2026-05-11T18:04:55Z,10.16.130.50,15,Projected #3 Demand Power,55.943378,W
2026-05-11T18:04:55Z,10.16.130.50,16,Projected #3 Demand Reactive Power,377179.0,VAR
2026-05-11T18:04:55Z,10.16.130.50,17,Projected #3 Demand Apparent Power,179192.171875,VA
2026-05-11T18:04:55Z,10.16.130.50,18,Elapsed Time,419815.75,s
2026-05-11T18:11:26Z,10.16.130.50,1,Date,12/5/2012,
2026-05-11T18:11:26Z,10.16.130.50,2,Time,20:48:56,
2026-05-11T18:11:26Z,10.16.130.50,3,Demand Current,50.408485,A
2026-05-11T18:11:26Z,10.16.130.50,4,Demand Power,339180.4375,W
2026-05-11T18:11:26Z,10.16.130.50,5,Demand Apparent Power,159375.46875,VA
2026-05-11T18:11:26Z,10.16.130.50,6,Projected #1 Demand Current,375751.5,A
2026-05-11T18:11:26Z,10.16.130.50,7,Projected #1 Demand Power,51.785774,W
2026-05-11T18:11:26Z,10.16.130.50,8,Projected #1 Demand Reactive Power,346319.78125,VAR
2026-05-11T18:11:26Z,10.16.130.50,9,Projected #1 Demand Apparent Power,170421.296875,VA
2026-05-11T18:11:26Z,10.16.130.50,10,Projected #2 Demand Current,386827.125,A
2026-05-11T18:11:26Z,10.16.130.50,11,Projected #2 Demand Power,50.332058,W
2026-05-11T18:11:26Z,10.16.130.50,12,Projected #2 Demand Reactive Power,337664.71875,VAR
2026-05-11T18:11:26Z,10.16.130.50,13,Projected #2 Demand Apparent Power,163939.984375,VA
2026-05-11T18:11:26Z,10.16.130.50,14,Projected #3 Demand Current,376238.53125,A
2026-05-11T18:11:26Z,10.16.130.50,15,Projected #3 Demand Power,49.296154,W
2026-05-11T18:11:26Z,10.16.130.50,16,Projected #3 Demand Reactive Power,331631.53125,VAR
2026-05-11T18:11:26Z,10.16.130.50,17,Projected #3 Demand Apparent Power,158876.890625,VA
2026-05-11T18:11:26Z,10.16.130.50,18,Elapsed Time,368571.1875,s
